iter	Passed	Remaining
299	1127	2631
300	1131	2628
301	1135	2624
302	1139	2620
303	1142	2616
304	1146	2611
305	1149	2608
306	1153	2604
307	1157	2599
308	1160	2595
309	1164	2591
310	1167	2587
311	1171	2583
312	1175	2579
313	1178	2575
314	1182	2571
315	1185	2567
316	1189	2563
317	1193	2559
318	1197	2555
319	1200	2551
320	1204	2547
321	1207	2543
322	1211	2539
323	1215	2535
324	1218	2531
325	1222	2527
326	1227	2525
327	1230	2521
328	1234	2517
329	1237	2513
330	1241	2509
331	1244	2504
332	1248	2500
333	1252	2496
334	1256	2493
335	1259	2489
336	1263	2486
337	1267	2482
338	1271	2478
339	1275	2475
340	1278	2471
341	1282	2466
342	1285	2462
343	1289	2458
344	1293	2455
345	1296	2450
346	1300	2446
347	1303	2442
348	1307	2439
349	1311	2435
350	1314	2431
351	1318	2427
352	1322	2423
353	1325	2419
354	1329	2415
355	1333	2411
356	1336	2407
357	1340	2403
358	1343	2399
359	1347	2395
360	1351	2391
361	1354	2388
362	1358	2384
363	1362	2380
364	1365	2376
365	1369	2372
366	1372	2368
367	1376	2364
368	1381	2361
369	1384	2357
370	1388	2353
371	1392	2350
372	1395	2346
373	1399	2342
374	1402	2338
375	1406	2334
376	1410	2330
377	1413	2326
378	1417	2322
379	1420	2318
380	1424	2314
381	1428	2310
382	1431	2306
383	1435	2302
384	1438	2298
385	1442	2294
386	1446	2290
387	1449	2286
388	1453	2282
389	1457	2279
390	1460	2275
391	1464	2271
392	1467	2267
393	1471	2263
394	1475	2259
395	1478	2255
396	1482	2251
397	1485	2247
398	1489	2243
399	1493	2239
400	1496	2235
401	1500	2231
402	1503	2227
403	1507	2224
404	1511	2220
405	1514	2216
406	1518	2212
407	1522	2208
408	1525	2204
409	1529	2200
410	1532	2196
411	1536	2192
412	1540	2189
413	1543	2185
414	1547	2181
415	1550	2177
416	1554	2173
417	1558	2169
418	1561	2165
419	1565	2161
420	1569	2158
421	1572	2154
422	1576	2150
423	1580	2146
424	1583	2142
425	1587	2138
426	1590	2134
427	1594	2131
428	1598	2127
429	1601	2123
430	1605	2119
431	1608	2115
432	1612	2111
433	1615	2107
434	1619	2103
435	1623	2099
436	1626	2095
437	1630	2091
438	1634	2088
439	1637	2084
440	1641	2080
441	1645	2076
442	1648	2072
443	1652	2068
444	1655	2065
445	1659	2061
446	1662	2057
447	1666	2053
448	1670	2049
449	1673	2045
450	1677	2042
451	1681	2038
452	1685	2035
453	1688	2031
454	1692	2027
455	1696	2023
456	1699	2019
457	1703	2015
458	1706	2011
459	1710	2008
460	1714	2004
461	1717	2000
462	1721	1996
463	1725	1992
464	1728	1989
465	1732	1985
466	1735	1981
467	1739	1977
468	1743	1973
469	1746	1969
470	1750	1965
471	1754	1962
472	1757	1958
473	1761	1954
474	1764	1950
475	1768	1946
476	1772	1943
477	1775	1939
478	1779	1935
479	1783	1931
480	1786	1927
481	1790	1924
482	1793	1920
483	1797	1916
484	1801	1912
485	1805	1909
486	1808	1905
487	1812	1901
488	1815	1897
489	1819	1893
490	1823	1889
491	1826	1886
492	1830	1882
493	1834	1878
494	1837	1874
495	1841	1870
496	1844	1867
497	1848	1863
498	1852	1859
499	1855	1855
500	1859	1851
501	1862	1848
502	1866	1844
503	1870	1840
504	1873	1836
505	1877	1832
506	1881	1829
507	1884	1825
508	1888	1821
509	1892	1817
510	1895	1814
511	1899	1810
512	1903	1806
513	1906	1802
514	1910	1799
515	1913	1795
516	1917	1791
517	1921	1787
518	1924	1783
519	1928	1780
520	1932	1776
521	1935	1772
522	1939	1768
523	1943	1765
524	1946	1761
525	1950	1757
526	1953	1753
527	1957	1749
528	1961	1746
529	1964	1742
530	1968	1738
531	1971	1734
532	1975	1730
533	1979	1727
534	1982	1723
535	1986	1719
536	1989	1715
537	1993	1711
538	1997	1708
539	2000	1704
540	2004	1700
541	2008	1696
542	2011	1693
543	2015	1689
544	2018	1685
545	2022	1681
546	2026	1677
547	2029	1674
548	2033	1670
549	2036	1666
550	2040	1662
551	2044	1659
552	2047	1655
553	2051	1651
554	2054	1647
555	2058	1643
556	2062	1640
557	2065	1636
558	2069	1632
559	2073	1628
560	2076	1625
561	2080	1621
562	2083	1617
563	2087	1613
564	2091	1609
565	2094	1606
566	2098	1602
567	2101	1598
568	2105	1594
569	2109	1591
570	2112	1587
571	2116	1583
572	2119	1579
573	2123	1575
574	2126	1572
575	2130	1568
576	2134	1564
577	2137	1560
578	2141	1557
579	2145	1553
580	2148	1549
581	2152	1545
582	2155	1542
583	2159	1538
584	2163	1534
585	2166	1530
586	2170	1527
587	2174	1523
588	2177	1519
589	2181	1515
590	2184	1512
591	2188	1508
592	2192	1504
593	2195	1500
594	2199	1497
595	2203	1493
596	2206	1489
597	2210	1485
598	2213	1482
599	2217	1478
600	2221	1474
601	2224	1470
602	2228	1467
603	2231	1463
604	2235	1459
605	2238	1455
606	2242	1451
607	2246	1448
608	2249	1444
609	2253	1440
610	2256	1436
611	2260	1433
612	2264	1429
613	2268	1425
614	2271	1422
615	2275	1418
616	2278	1414
617	2282	1410
618	2286	1407
619	2289	1403
620	2293	1399
621	2297	1396
622	2300	1392
623	2304	1388
624	2308	1384
625	2311	1381
626	2315	1377
627	2318	1373
628	2322	1369
629	2326	1366
630	2329	1362
631	2333	1358
632	2336	1354
633	2340	1351
634	2344	1347
635	2347	1343
636	2351	1339
637	2354	1336
638	2358	1332
639	2362	1328
640	2365	1325
641	2369	1321
642	2373	1317
643	2376	1313
644	2380	1310
645	2384	1306
646	2387	1302
647	2391	1299
648	2394	1295
649	2398	1291
650	2402	1287
651	2405	1284
652	2409	1280
653	2412	1276
654	2416	1272
655	2420	1269
656	2423	1265
657	2427	1261
658	2430	1257
659	2434	1254
660	2438	1250
661	2441	1246
662	2445	1242
663	2448	1239
664	2452	1235
665	2456	1231
666	2459	1228
667	2463	1224
668	2466	1220
669	2470	1216
670	2474	1213
671	2478	1209
672	2481	1205
673	2485	1202
674	2488	1198
675	2492	1194
676	2496	1190
677	2499	1187
678	2503	1183
679	2506	1179
680	2510	1175
681	2514	1172
682	2517	1168
683	2521	1164
684	2525	1161
685	2528	1157
686	2532	1153
687	2536	1150
688	2539	1146
689	2543	1142
690	2546	1138
691	2550	1135
692	2554	1131
693	2557	1127
694	2561	1124
695	2565	1120
696	2568	1116
697	2572	1112
698	2575	1109
699	2579	1105
700	2583	1101
701	2586	1098
702	2590	1094
703	2594	1090
704	2597	1086
705	2601	1083
706	2604	1079
707	2608	1075
708	2611	1072
709	2615	1068
710	2619	1064
711	2622	1060
712	2626	1057
713	2629	1053
714	2633	1049
715	2637	1045
716	2640	1042
717	2644	1038
718	2648	1034
719	2651	1031
720	2655	1027
721	2658	1023
722	2662	1019
723	2665	1016
724	2669	1012
725	2672	1008
726	2676	1005
727	2680	1001
728	2683	997
729	2687	994
730	2691	990
731	2695	986
732	2698	983
733	2702	979
734	2705	975
735	2709	971
736	2713	968
737	2716	964
738	2720	960
739	2724	957
740	2727	953
741	2731	949
742	2734	945
743	2738	942
744	2742	938
745	2745	934
746	2749	931
747	2753	927
748	2756	923
749	2760	920
750	2764	916
751	2767	912
752	2771	909
753	2775	905
754	2778	901
755	2782	897
756	2785	894
757	2789	890
758	2793	886
759	2796	883
760	2800	879
761	2804	875
762	2807	872
763	2811	868
764	2815	864
765	2818	861
766	2822	857
767	2825	853
768	2829	849
769	2833	846
770	2836	842
771	2840	838
772	2844	835
773	2847	831
774	2851	827
775	2855	824
776	2858	820
777	2862	816
778	2865	813
779	2869	809
780	2873	805
781	2876	801
782	2880	798
783	2883	794
784	2887	790
785	2891	787
786	2894	783
787	2898	779
788	2902	776
789	2905	772
790	2909	768
791	2913	765
792	2916	761
793	2920	757
794	2924	754
795	2927	750
796	2931	746
797	2935	742
798	2938	739
799	2942	735
800	2945	731
801	2949	728
802	2953	724
803	2956	720
804	2960	717
805	2963	713
806	2967	709
807	2971	706
808	2974	702
809	2978	698
810	2981	694
811	2985	691
812	2989	687
813	2992	683
814	2996	680
815	2999	676
816	3003	672
817	3007	669
818	3010	665
819	3014	661
820	3017	657
821	3021	654
822	3025	650
823	3028	646
824	3032	643
825	3035	639
826	3039	635
827	3043	632
828	3046	628
829	3050	624
830	3053	621
831	3057	617
832	3061	613
833	3064	609
834	3068	606
835	3071	602
836	3075	598
837	3079	595
838	3082	591
839	3086	587
840	3089	584
841	3093	580
842	3097	576
843	3100	573
844	3104	569
845	3108	565
846	3112	562
847	3115	558
848	3119	554
849	3122	551
850	3126	547
851	3130	543
852	3133	540
853	3137	536
854	3140	532
855	3144	529
856	3148	525
857	3151	521
858	3155	517
859	3159	514
860	3162	510
861	3166	506
862	3169	503
863	3173	499
864	3177	495
865	3181	492
866	3184	488
867	3188	484
868	3191	481
869	3195	477
870	3199	473
871	3202	470
872	3206	466
873	3210	462
874	3213	459
875	3217	455
876	3221	451
877	3224	448
878	3228	444
879	3232	440
880	3235	437
881	3239	433
882	3243	429
883	3246	426
884	3250	422
885	3254	418
886	3258	415
887	3261	411
888	3265	407
889	3269	404
890	3272	400
891	3276	396
892	3279	392
893	3283	389
894	3287	385
895	3290	381
896	3294	378
897	3298	374
898	3301	370
899	3305	367
900	3308	363
901	3312	359
902	3316	356
903	3319	352
904	3323	348
905	3326	345
906	3330	341
907	3333	337
908	3337	334
909	3341	330
910	3344	326
911	3348	323
912	3351	319
913	3355	315
914	3359	312
915	3362	308
916	3366	304
917	3369	301
918	3373	297
919	3377	293
920	3380	289
921	3384	286
922	3388	282
923	3391	278
924	3395	275
925	3399	271
926	3402	267
927	3406	264
928	3409	260
929	3413	256
930	3416	253
931	3420	249
932	3423	245
933	3427	242
934	3431	238
935	3434	234
936	3438	231
937	3442	227
938	3445	223
939	3449	220
940	3453	216
941	3456	212
942	3460	209
943	3464	205
944	3467	201
945	3471	198
946	3475	194
947	3478	190
948	3482	187
949	3486	183
950	3489	179
951	3493	176
952	3496	172
953	3500	168
954	3504	165
955	3507	161
956	3511	157
957	3514	154
958	3518	150
959	3522	146
960	3525	143
961	3529	139
962	3533	135
963	3536	132
964	3540	128
965	3544	124
966	3547	121
967	3551	117
968	3554	113
969	3558	110
970	3562	106
971	3565	102
972	3569	99
973	3572	95
974	3576	91
975	3580	88
976	3583	84
977	3587	80
978	3591	77
979	3594	73
980	3598	69
981	3601	66
982	3605	62
983	3609	58
984	3612	55
985	3616	51
986	3619	47
987	3623	44
988	3627	40
989	3631	36
990	3635	33
991	3639	29
992	3642	25
993	3646	22
994	3650	18
995	3653	14
996	3657	11
997	3661	7
998	3664	3
999	3668	0
