iter	Logloss
0	0.6770443358
1	0.661552039
2	0.6464080205
3	0.6318880284
4	0.6178512344
5	0.6042746175
6	0.5911152963
7	0.5783400526
8	0.5656044437
9	0.5534670497
10	0.5417825635
11	0.530465656
12	0.5192776822
13	0.508537318
14	0.4980481845
15	0.4875929293
16	0.4777505359
17	0.4677892295
18	0.4584640713
19	0.4495695559
20	0.4405167771
21	0.4320403444
22	0.4229331914
23	0.4148529873
24	0.4072085026
25	0.399812492
26	0.3926262021
27	0.3852364225
28	0.3783656252
29	0.3718358459
30	0.3650777843
31	0.3589197245
32	0.3529667245
33	0.3470707755
34	0.3414372377
35	0.335967929
36	0.3299212684
37	0.3246933112
38	0.319700309
39	0.3146989667
40	0.308962166
41	0.3043463832
42	0.299261832
43	0.2946601461
44	0.2905614042
45	0.2858996737
46	0.2815125561
47	0.2777093976
48	0.2735266816
49	0.2693672961
50	0.2658937791
51	0.2625205458
52	0.2585957448
53	0.2542127747
54	0.2512024934
55	0.2482732134
56	0.2451013373
57	0.2420493554
58	0.2390755417
59	0.236145249
60	0.2326896182
61	0.2295659073
62	0.2264683209
63	0.2241139925
64	0.2214008142
65	0.2191722911
66	0.2160712141
67	0.2137806504
68	0.2115054865
69	0.2092427755
70	0.2064326774
71	0.203510596
72	0.2009324461
73	0.1988686823
74	0.1964788494
75	0.1942872484
76	0.1921140461
77	0.1898334546
78	0.1874245265
79	0.1858744279
80	0.1842224325
81	0.1827331733
82	0.1803297575
83	0.1785687972
84	0.1767274408
85	0.1750822217
86	0.1735989236
87	0.1719027525
88	0.1703520235
89	0.1683497878
90	0.1671719844
91	0.1657763355
92	0.1644364515
93	0.1632434804
94	0.1617719741
95	0.1607626307
96	0.1593648523
97	0.1577507915
98	0.1564125858
99	0.1552064918
100	0.1537191432
101	0.1518462603
102	0.1505211828
103	0.1494502147
104	0.148533372
105	0.1475642051
106	0.1464415471
107	0.1454152105
108	0.1444173726
109	0.1436310537
110	0.1423197869
111	0.1414111687
112	0.1403219048
113	0.1394871239
114	0.1384612003
115	0.1375195739
116	0.1367661403
117	0.1357120971
118	0.1348062359
119	0.1338113047
120	0.1327814029
121	0.1320860283
122	0.1310840092
123	0.1301766624
124	0.12957059
125	0.1284394674
126	0.1275824721
127	0.1269663716
128	0.1261139796
129	0.1254199496
130	0.1245120346
131	0.1239534927
132	0.1231705071
133	0.12242963
134	0.1216626726
135	0.1207244887
136	0.1202314294
137	0.1195000844
138	0.1187811705
139	0.1180640107
140	0.1174410921
141	0.1167586285
142	0.1161151256
143	0.1155512026
144	0.1150583596
145	0.1145917338
146	0.1140750324
147	0.1133696436
148	0.1129413033
149	0.1124817415
150	0.1120718283
151	0.111644266
152	0.1112726286
153	0.1108496998
154	0.1101316822
155	0.1098315526
156	0.1095159075
157	0.1092363481
158	0.1088461945
159	0.1084373749
160	0.1079677535
161	0.1076438391
162	0.1071341513
163	0.106764529
164	0.1064036567
165	0.1060629523
166	0.1057512402
167	0.1054975189
168	0.1050660409
169	0.1047043877
170	0.1043312254
171	0.1038755891
172	0.1036648036
173	0.1034211513
174	0.1031104198
175	0.1027902183
176	0.1025779417
177	0.1022345692
178	0.10198747
179	0.1015663517
180	0.1013126478
181	0.1011006637
182	0.1007525015
183	0.1004136948
184	0.1001168591
185	0.09986251507
186	0.09969339857
187	0.0995096537
188	0.09923408507
189	0.09896922277
190	0.09871584167
191	0.09850075368
192	0.0981286316
193	0.09791895311
194	0.09763666437
195	0.09737991371
196	0.09704489306
197	0.09684124186
198	0.09660449468
199	0.09642699013
200	0.09610605915
201	0.09582247115
202	0.09550971097
203	0.09530188152
204	0.09505406157
205	0.09488998468
206	0.09461868138
207	0.09449500109
208	0.09430282237
209	0.09412143707
210	0.0939396432
211	0.09379828953
212	0.09358804713
213	0.0934247807
214	0.09324792288
215	0.09303745556
216	0.09284929967
217	0.09267989739
218	0.09254166711
219	0.09225163298
220	0.09188593486
221	0.09165091103
222	0.09146985568
223	0.09128167623
224	0.09096212778
225	0.09080940243
226	0.09056037101
227	0.09040151808
228	0.09020270216
229	0.08999256248
230	0.08981727128
231	0.08965974214
232	0.08949138707
233	0.08925489414
234	0.08914591309
235	0.08896541653
236	0.08882353988
237	0.08867283478
238	0.08849569743
239	0.08831248417
240	0.0881786607
241	0.08805888495
242	0.08785991005
243	0.08775281585
244	0.08759887645
245	0.087420679
246	0.08728410922
247	0.08714777357
248	0.08695159319
249	0.08683935181
250	0.08670855172
251	0.0865994111
252	0.08633697113
253	0.08617307122
254	0.08598958373
255	0.08580241086
256	0.08564332019
257	0.08541453886
258	0.08527353276
259	0.08506390449
260	0.08492229446
261	0.08478024378
262	0.08465090173
263	0.08453163562
264	0.08444146282
265	0.0842634568
266	0.08413013757
267	0.08401028943
268	0.08390516428
269	0.08376659347
270	0.08352009211
271	0.08336614486
272	0.08318056135
273	0.08308822255
274	0.08287000392
275	0.08274820384
276	0.08262395294
277	0.08253685847
278	0.08241355324
279	0.08228539796
280	0.0821491017
281	0.08203993038
282	0.08191822216
283	0.08180353163
284	0.0817179158
285	0.08150990864
286	0.08134370894
287	0.08122008903
288	0.08111132642
289	0.08098660377
290	0.08087315454
291	0.08076455702
292	0.08054199456
293	0.0804276103
294	0.08034604081
295	0.08019290345
296	0.07995431925
297	0.0798393893
298	0.07968529112
299	0.07955537295
300	0.07941421026
301	0.0793062201
302	0.07918566909
303	0.07908828302
304	0.07898189189
305	0.07888003335
306	0.0786723411
307	0.07856138878
308	0.07844162011
309	0.07828779628
310	0.07814227229
311	0.07803504404
312	0.0779482012
313	0.07773863734
314	0.07764030498
315	0.07748812739
316	0.07736765727
317	0.07723240753
318	0.07713776842
319	0.07702125985
320	0.07691057409
321	0.07675465669
322	0.07657098706
323	0.07647526997
324	0.07630497666
325	0.07620697592
326	0.07609313404
327	0.07599492063
328	0.07588851924
329	0.0757521845
330	0.07562883138
331	0.0755468996
332	0.07541345331
333	0.07531283113
334	0.07513929324
335	0.07501886939
336	0.07489962691
337	0.07473206455
338	0.07463207387
339	0.07451374471
340	0.07428073967
341	0.07419000603
342	0.07408695146
343	0.07400096528
344	0.07388301984
345	0.07376741566
346	0.07361082123
347	0.07350491586
348	0.07340465621
349	0.07332502388
350	0.07320178218
351	0.07308131203
352	0.07290035525
353	0.07273380323
354	0.0726166774
355	0.07248862228
356	0.07239140315
357	0.07216041213
358	0.07206534263
359	0.07195456944
360	0.07186486001
361	0.07178656762
362	0.07169003158
363	0.07160184755
364	0.07148856395
365	0.07139153278
366	0.07129183126
367	0.07103364919
368	0.07084486874
369	0.07074523038
370	0.07067489565
371	0.07057326948
372	0.07045660082
373	0.07036710281
